user	Date	Directory Accessed
henry	10/15/19	Wonka/Secret_recipes/chocolate
henry	10/15/19	Wonka/Secret_recipes/candy
henry	10/15/19	Wonka/Secret_recipes/sweetdrinks
henry	10/15/19	Wonka/Secret_recipes/chocolate
henry	10/15/19	Wonka/Secret_recipes/chocolate
henry	10/15/19	Wonka/Secret_recipes/chocolate
henry	10/15/19	Wonka/Secret_recipes/candy
henry	10/15/19	Wonka/Secret_recipes/chocolate
henry	10/15/19	Wonka/Secret_recipes/chocolate
henry	10/15/19	Wonka/Secret_recipes/chocolate
henry	10/15/19	Wonka/Secret_recipes/chocolate
henry	10/15/19	Wonka/Secret_recipes/chocolate
henry	10/15/19	Wonka/Secret_recipes/candy
henry	10/15/19	Wonka/Secret_recipes/chocolate
henry	10/15/19	Wonka/Secret_recipes/chocolate
henry	10/15/19	Wonka/Secret_recipes/chocolate
henry	10/15/19	Wonka/Secret_recipes/candy
henry	10/15/19	Wonka/Secret_recipes/chocolate
henry	10/15/19	Wonka/Secret_recipes/chocolate
henry	10/15/19	Wonka/Secret_recipes/sweetdrinks
henry	10/15/19	Wonka/Secret_recipes/chocolate
henry	10/15/19	Wonka/Secret_recipes/chocolate
henry	10/15/19	Wonka/Secret_recipes/chocolate
henry	10/15/19	Wonka/Secret_recipes/candy
henry	10/15/19	Wonka/Secret_recipes/chocolate
henry	10/15/19	Wonka/Secret_recipes/chocolate
henry	10/15/19	Wonka/Secret_recipes/chocolate
henry	10/15/19	Wonka/Secret_recipes/candy
henry	10/15/19	Wonka/Secret_recipes/sweetdrinks
henry	10/15/19	Wonka/Secret_recipes/chocolate
henry	10/15/19	Wonka/Secret_recipes/chocolate
henry	10/15/19	Wonka/Secret_recipes/chocolate
henry	10/15/19	Wonka/Secret_recipes/candy
henry	10/15/19	Wonka/Secret_recipes/chocolate
henry	10/15/19	Wonka/Secret_recipes/chocolate
henry	10/15/19	Wonka/Secret_recipes/candy
henry	10/15/19	Wonka/Secret_recipes/sweetdrinks
henry	10/15/19	Wonka/Secret_recipes/chocolate
henry	10/15/19	Wonka/Secret_recipes/chocolate
henry	10/15/19	Wonka/Secret_recipes/chocolate
henry	10/15/19	Wonka/Secret_recipes/candy
henry	10/15/19	Wonka/Secret_recipes/chocolate
henry	10/15/19	Wonka/Secret_recipes/chocolate
henry	10/15/19	Wonka/Secret_recipes/chocolate
henry	10/15/19	Wonka/Secret_recipes/chocolate
henry	10/15/19	Wonka/Secret_recipes/chocolate
henry	10/15/19	Wonka/Secret_recipes/candy
henry	10/15/19	Wonka/Secret_recipes/chocolate
henry	10/15/19	Wonka/Secret_recipes/sweetdrinks
henry	10/15/19	Wonka/Secret_recipes/chocolate
henry	10/15/19	Wonka/Secret_recipes/chocolate
henry	10/15/19	Wonka/Secret_recipes/chocolate
henry	10/15/19	Wonka/Secret_recipes/candy
henry	10/15/19	Wonka/Secret_recipes/chocolate
henry	10/15/19	Wonka/Secret_recipes/chocolate
henry	10/15/19	Wonka/Secret_recipes/candy
henry	10/15/19	Wonka/Secret_recipes/sweetdrinks
henry	10/15/19	Wonka/Secret_recipes/sweetdrinks
henry	10/15/19	Wonka/Secret_recipes/chocolate
henry	10/15/19	Wonka/Secret_recipes/chocolate
henry	10/15/19	Wonka/Secret_recipes/chocolate
henry	10/15/19	Wonka/Secret_recipes/candy
henry	10/15/19	Wonka/Secret_recipes/chocolate
henry	10/15/19	Wonka/Secret_recipes/chocolate
henry	10/15/19	Wonka/Secret_recipes/candy
henry	10/15/19	Wonka/Secret_recipes/sweetdrinks
henry	10/15/19	Wonka/Secret_recipes/chocolate
henry	10/15/19	Wonka/Secret_recipes/chocolate
henry	10/15/19	Wonka/Secret_recipes/chocolate
henry	10/15/19	Wonka/Secret_recipes/candy
henry	10/15/19	Wonka/Secret_recipes/chocolate
henry	10/15/19	Wonka/Secret_recipes/chocolate
henry	10/15/19	Wonka/Secret_recipes/chocolate

