user	Date	Directory Accessed
ruth	10/14/19	Wonka/Secret_recipes/chocolate
ruth	10/14/19	Wonka/Secret_recipes/candy
ruth	10/14/19	Wonka/Secret_recipes/sweetdrinks
ruth	10/14/19	Wonka/Secret_recipes/chocolate
ruth	10/14/19	Wonka/Secret_recipes/chocolate
ruth	10/14/19	Wonka/Secret_recipes/chocolate
ruth	10/14/19	Wonka/Secret_recipes/candy
ruth	10/14/19	Wonka/Secret_recipes/chocolate
ruth	10/14/19	Wonka/Secret_recipes/chocolate
ruth	10/14/19	Wonka/Secret_recipes/chocolate
ruth	10/14/19	Wonka/Secret_recipes/chocolate
ruth	10/14/19	Wonka/Secret_recipes/chocolate
ruth	10/14/19	Wonka/Secret_recipes/candy
ruth	10/14/19	Wonka/Secret_recipes/chocolate
ruth	10/14/19	Wonka/Secret_recipes/chocolate
ruth	10/14/19	Wonka/Secret_recipes/chocolate
ruth	10/14/19	Wonka/Secret_recipes/candy
ruth	10/14/19	Wonka/Secret_recipes/chocolate
ruth	10/14/19	Wonka/Secret_recipes/chocolate
ruth	10/14/19	Wonka/Secret_recipes/sweetdrinks
ruth	10/14/19	Wonka/Secret_recipes/chocolate
ruth	10/14/19	Wonka/Secret_recipes/chocolate
ruth	10/14/19	Wonka/Secret_recipes/chocolate
ruth	10/14/19	Wonka/Secret_recipes/candy
ruth	10/14/19	Wonka/Secret_recipes/chocolate
ruth	10/14/19	Wonka/Secret_recipes/chocolate
ruth	10/14/19	Wonka/Secret_recipes/chocolate
ruth	10/14/19	Wonka/Secret_recipes/candy
ruth	10/14/19	Wonka/Secret_recipes/sweetdrinks
ruth	10/14/19	Wonka/Secret_recipes/chocolate
ruth	10/14/19	Wonka/Secret_recipes/chocolate
ruth	10/14/19	Wonka/Secret_recipes/chocolate
ruth	10/14/19	Wonka/Secret_recipes/candy
ruth	10/14/19	Wonka/Secret_recipes/chocolate
ruth	10/14/19	Wonka/Secret_recipes/chocolate
ruth	10/14/19	Wonka/Secret_recipes/candy
ruth	10/14/19	Wonka/Secret_recipes/sweetdrinks
ruth	10/14/19	Wonka/Secret_recipes/chocolate
ruth	10/14/19	Wonka/Secret_recipes/chocolate
ruth	10/14/19	Wonka/Secret_recipes/chocolate
ruth	10/14/19	Wonka/Secret_recipes/candy
ruth	10/14/19	Wonka/Secret_recipes/chocolate
ruth	10/14/19	Wonka/Secret_recipes/chocolate
ruth	10/14/19	Wonka/Secret_recipes/chocolate
ruth	10/14/19	Wonka/Secret_recipes/chocolate
ruth	10/14/19	Wonka/Secret_recipes/chocolate
ruth	10/14/19	Wonka/Secret_recipes/candy
ruth	10/14/19	Wonka/Secret_recipes/chocolate
ruth	10/14/19	Wonka/Secret_recipes/sweetdrinks
ruth	10/14/19	Wonka/Secret_recipes/chocolate
ruth	10/14/19	Wonka/Secret_recipes/chocolate
ruth	10/14/19	Wonka/Secret_recipes/chocolate
ruth	10/14/19	Wonka/Secret_recipes/candy
ruth	10/14/19	Wonka/Secret_recipes/chocolate
ruth	10/14/19	Wonka/Secret_recipes/chocolate
ruth	10/14/19	Wonka/Secret_recipes/candy
ruth	10/14/19	Wonka/Secret_recipes/sweetdrinks
ruth	10/14/19	Wonka/Secret_recipes/sweetdrinks
ruth	10/14/19	Wonka/Secret_recipes/chocolate
ruth	10/14/19	Wonka/Secret_recipes/chocolate
ruth	10/14/19	Wonka/Secret_recipes/chocolate
ruth	10/14/19	Wonka/Secret_recipes/candy
ruth	10/14/19	Wonka/Secret_recipes/chocolate
ruth	10/14/19	Wonka/Secret_recipes/chocolate
ruth	10/14/19	Wonka/Secret_recipes/candy
ruth	10/14/19	Wonka/Secret_recipes/sweetdrinks
ruth	10/14/19	Wonka/Secret_recipes/chocolate
ruth	10/14/19	Wonka/Secret_recipes/chocolate
ruth	10/14/19	Wonka/Secret_recipes/chocolate
ruth	10/14/19	Wonka/Secret_recipes/candy
ruth	10/14/19	Wonka/Secret_recipes/chocolate
ruth	10/14/19	Wonka/Secret_recipes/chocolate
ruth	10/14/19	Wonka/Secret_recipes/chocolate

